REGIÓN,IES,PERSONA JURÍDICA,SEDE-LOCAL-FILIAL,DIRECCIÓN,PROGRAMAS LICENCIADOS,NIVEL,MODALIDAD
AREQUIPA,CETEMIN,ASOCIACIÓN CENTRO TECNOLÓGICO MINERO,LOCAL 03,FUNDO LA MURILLO S/N,EXPLOTACIÓN DE MINAS,Técnico ,PRESENCIAL
AREQUIPA,CETEMIN,ASOCIACIÓN CENTRO TECNOLÓGICO MINERO,LOCAL 03,FUNDO LA MURILLO S/N,GEOLOGÍA Y EXPLORACIÓN,Técnico ,PRESENCIAL
AREQUIPA,CETEMIN,ASOCIACIÓN CENTRO TECNOLÓGICO MINERO,LOCAL 03,FUNDO LA MURILLO S/N,MEDIO AMBIENTE,Técnico ,PRESENCIAL
AREQUIPA,CETEMIN,ASOCIACIÓN CENTRO TECNOLÓGICO MINERO,LOCAL 03,FUNDO LA MURILLO S/N,MANTENIMIENTO DE EQUIPO PESADO,Técnico ,PRESENCIAL
AREQUIPA,CETEMIN,ASOCIACIÓN CENTRO TECNOLÓGICO MINERO,LOCAL 03,FUNDO LA MURILLO S/N,MANTENIMIENTO ELÉCTRICO E INSTRUMENTACIÓN,Técnico ,PRESENCIAL
AREQUIPA,CETEMIN,ASOCIACIÓN CENTRO TECNOLÓGICO MINERO,LOCAL 03,FUNDO LA MURILLO S/N,"PREVENCIÓN DE RIESGO, SEGURIDAD Y SALUD OCUPACIONAL",Técnico ,PRESENCIAL
AREQUIPA,CETEMIN,ASOCIACIÓN CENTRO TECNOLÓGICO MINERO,LOCAL 03,FUNDO LA MURILLO S/N,MANTENIMIENTO INDUSTRIAL,Profesional Técnico,PRESENCIAL
LIMA,CHARLES CHAPLIN,INSTITUTO DE LA EDUCACIÓN S.A.C.,SEDE PRINCIPAL-LOCAL 01,AV. LAS FLORES N° 247-249,COMUNICACIÓN AUDIOVISUAL,Profesional Técnico,PRESENCIAL
LIMA,CHARLES CHAPLIN,INSTITUTO DE LA EDUCACIÓN S.A.C.,SEDE PRINCIPAL-LOCAL 01,AV. LAS FLORES N° 247-249,DIRECCIÓN Y REALIZACIÓN DE CINE Y TELEVISIÓN,Profesional Técnico,PRESENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,ADMINISTRACIÓN DE EMPRESAS  (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,ADMINISTRACIÓN DE EMPRESAS  (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LA LIBERTAD,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL TRUJILLO - LOCAL N° 06,AV. DEL EJERCITO N° 889 Y CALLE BORGOÑO N° 361  - Trujillo,ADMINISTRACIÓN DE EMPRESAS  (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,ADMINISTRACIÓN DE EMPRESAS  (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 03,AV. CARLOS IZAGUIRRE N° 233-239 Y CALLE LOS ANDES N° 414-440 - INDEPENDENCIA,ADMINISTRACIÓN DE EMPRESAS  (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 04,AV. BRASIL N° 732 - BREÑA,ADMINISTRACIÓN DE EMPRESAS  (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 05,AV. PROCERES DE LA INDEPENDENCIA N° 3023 -3043 - SJL,ADMINISTRACIÓN DE EMPRESAS  (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
LA LIBERTAD,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 07,CALLE DANIEL HOYLE N° 450 - Trujillo,ADMINISTRACIÓN DE EMPRESAS  (SEMI-PRESENCIAL),Profesional Técnico,SEMIPRESCENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,PUBLICIDAD Y BRANDING,Profesional Técnico,PRESENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,ANIMACIÓN DIGITAL,Profesional Técnico,PRESENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,ADMINISTRACIÓN DE EMPRESAS,Profesional Técnico,PRESENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,Profesional Técnico,PRESENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,ADMINISTRACIÓN DE OPERACIONES TURÍSTICAS,Profesional Técnico,PRESENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,ADMINISTRACIÓN DE REDES Y COMUNICACIONES,Profesional Técnico,PRESENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,ADMINISTRACION DE SERVICIOS,Técnico ,PRESENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,ADMINISTRACIÓN Y SISTEMAS,Profesional Técnico,PRESENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,COMPUTACIÓN E INFORMÁTICA,Profesional Técnico,PRESENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,COMUNICACIÓN Y ARTE DIGITAL,Profesional Técnico,PRESENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,CONTABILIDAD,Profesional Técnico,PRESENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,DISEÑO DE INTERIORES,Profesional Técnico,PRESENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,DISEÑO GRÁFICO,Profesional Técnico,PRESENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,GESTIÓN DE RECURSOS HUMANOS,Profesional Técnico,PRESENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,INDUSTRIAL Y SISTEMAS,Profesional Técnico,PRESENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,MARKETING,Profesional Técnico,PRESENCIAL
AREQUIPA,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL AREQUIPA - LOCAL N° 08,AV. PORONGOCHE N° 500 - Paucarpata,SEGURIDAD Y PREVENCION DE RIESGOS,Profesional Técnico,PRESENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,SEGURIDAD Y PREVENCION DE RIESGOS,Profesional Técnico,PRESENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,DIBUJO DE ARQUITECTURA Y OBRAS CIVILES,Técnico ,PRESENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,DISEÑO DE VIDEOJUEGOS,Profesional Técnico,PRESENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,TRADUCCION E INTERPRETACION,Profesional Técnico,PRESENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,ADMINISTRACIÓN DE EMPRESAS,Profesional Técnico,PRESENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,Profesional Técnico,PRESENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,ADMINISTRACIÓN DE OPERACIONES TURÍSTICAS,Profesional Técnico,PRESENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,ADMINISTRACIÓN DE REDES Y COMUNICACIONES,Profesional Técnico,PRESENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,ADMINISTRACION DE SERVICIOS,Técnico ,PRESENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,ADMINISTRACIÓN Y SISTEMAS,Profesional Técnico,PRESENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,COMPUTACIÓN E INFORMÁTICA,Profesional Técnico,PRESENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,CONTABILIDAD,Profesional Técnico,PRESENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,DISEÑO DE INTERIORES,Profesional Técnico,PRESENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,DISEÑO GRÁFICO,Profesional Técnico,PRESENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,GESTIÓN DE RECURSOS HUMANOS,Profesional Técnico,PRESENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,INDUSTRIAL Y SISTEMAS,Profesional Técnico,PRESENCIAL
CALLAO,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL CALLAO - LOCAL N° 09,AV. OSCAR R. BENAVIDES N° 3866 - Callao,MARKETING,Profesional Técnico,PRESENCIAL
LA LIBERTAD,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL TRUJILLO - LOCAL N° 06,AV. OSCAR R. BENAVIDES N° 3866 - Callao,SEGURIDAD Y PREVENCION DE RIESGOS,Profesional Técnico,PRESENCIAL
LA LIBERTAD,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL TRUJILLO - LOCAL N° 06,AV. OSCAR R. BENAVIDES N° 3866 - Callao,PUBLICIDAD Y BRANDING,Profesional Técnico,PRESENCIAL
LA LIBERTAD,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL TRUJILLO - LOCAL N° 06,AV. DEL EJERCITO N° 889 Y CALLE BORGOÑO N° 361  - Trujillo,ADMINISTRACIÓN DE EMPRESAS,Profesional Técnico,PRESENCIAL
LA LIBERTAD,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL TRUJILLO - LOCAL N° 06,AV. DEL EJERCITO N° 889 Y CALLE BORGOÑO N° 361  - Trujillo,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
LA LIBERTAD,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL TRUJILLO - LOCAL N° 06,AV. DEL EJERCITO N° 889 Y CALLE BORGOÑO N° 361  - Trujillo,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,Profesional Técnico,PRESENCIAL
LA LIBERTAD,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL TRUJILLO - LOCAL N° 06,AV. DEL EJERCITO N° 889 Y CALLE BORGOÑO N° 361  - Trujillo,ADMINISTRACIÓN DE OPERACIONES TURÍSTICAS,Profesional Técnico,PRESENCIAL
LA LIBERTAD,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL TRUJILLO - LOCAL N° 06,AV. DEL EJERCITO N° 889 Y CALLE BORGOÑO N° 361  - Trujillo,ADMINISTRACIÓN DE REDES Y COMUNICACIONES,Profesional Técnico,PRESENCIAL
LA LIBERTAD,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL TRUJILLO - LOCAL N° 06,AV. DEL EJERCITO N° 889 Y CALLE BORGOÑO N° 361  - Trujillo,ADMINISTRACION DE SERVICIOS,Técnico ,PRESENCIAL
LA LIBERTAD,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL TRUJILLO - LOCAL N° 06,AV. DEL EJERCITO N° 889 Y CALLE BORGOÑO N° 361  - Trujillo,ADMINISTRACIÓN Y SISTEMAS,Profesional Técnico,PRESENCIAL
LA LIBERTAD,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL TRUJILLO - LOCAL N° 06,AV. DEL EJERCITO N° 889 Y CALLE BORGOÑO N° 361  - Trujillo,COMPUTACIÓN E INFORMÁTICA,Profesional Técnico,PRESENCIAL
LA LIBERTAD,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL TRUJILLO - LOCAL N° 06,AV. DEL EJERCITO N° 889 Y CALLE BORGOÑO N° 361  - Trujillo,CONTABILIDAD,Profesional Técnico,PRESENCIAL
LA LIBERTAD,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL TRUJILLO - LOCAL N° 06,AV. DEL EJERCITO N° 889 Y CALLE BORGOÑO N° 361  - Trujillo,DISEÑO DE INTERIORES,Profesional Técnico,PRESENCIAL
LA LIBERTAD,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL TRUJILLO - LOCAL N° 06,AV. DEL EJERCITO N° 889 Y CALLE BORGOÑO N° 361  - Trujillo,DISEÑO GRÁFICO,Profesional Técnico,PRESENCIAL
LA LIBERTAD,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL TRUJILLO - LOCAL N° 06,AV. DEL EJERCITO N° 889 Y CALLE BORGOÑO N° 361  - Trujillo,GESTIÓN DE RECURSOS HUMANOS,Profesional Técnico,PRESENCIAL
LA LIBERTAD,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL TRUJILLO - LOCAL N° 06,AV. DEL EJERCITO N° 889 Y CALLE BORGOÑO N° 361  - Trujillo,INDUSTRIAL Y SISTEMAS,Profesional Técnico,PRESENCIAL
LA LIBERTAD,CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,FILIAL TRUJILLO - LOCAL N° 06,AV. DEL EJERCITO N° 889 Y CALLE BORGOÑO N° 361  - Trujillo,MARKETING,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,ANIMACIÓN DIGITAL,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,ADMINISTRACIÓN DE EMPRESAS,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,ADMINISTRACIÓN DE OPERACIONES TURÍSTICAS,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,ADMINISTRACIÓN DE REDES Y COMUNICACIONES,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,ADMINISTRACION DE SERVICIOS,Técnico ,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,ADMINISTRACIÓN Y SISTEMAS,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,COMPUTACIÓN E INFORMÁTICA,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,COMUNICACIÓN Y ARTE DIGITAL,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,CONTABILIDAD,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,DISEÑO DE INTERIORES,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,DISEÑO DE VIDEOJUEGOS,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,DISEÑO GRÁFICO,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,ELECTRICIDAD INDUSTRIAL,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,ELECTRÓNICA INDUSTRIAL,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,GESTIÓN DE RECURSOS HUMANOS,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,INDUSTRIAL Y SISTEMAS,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,MARKETING,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,MECATRÓNICA INDUSTRIAL,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,PUBLICIDAD Y BRANDING,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 02,AV. ERNESTO DIEZ CANSECO N° 256-275 - MIRAFLORES,TRADUCCION E INTERPRETACION,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 03,AV. CARLOS IZAGUIRRE N° 233-239 Y CALLE LOS ANDES N° 414-440 - INDEPENDENCIA,GESTIÓN DE LOGÍSTICA,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 03,AV. CARLOS IZAGUIRRE N° 233-239 Y CALLE LOS ANDES N° 414-440 - INDEPENDENCIA,ANIMACIÓN DIGITAL,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 03,AV. CARLOS IZAGUIRRE N° 233-239 Y CALLE LOS ANDES N° 414-440 - INDEPENDENCIA,ADMINISTRACIÓN DE EMPRESAS,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 03,AV. CARLOS IZAGUIRRE N° 233-239 Y CALLE LOS ANDES N° 414-440 - INDEPENDENCIA,ADMINISTRACIÓN DE NEGOCIOS BANCARIOS Y FINANCIEROS,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 03,AV. CARLOS IZAGUIRRE N° 233-239 Y CALLE LOS ANDES N° 414-440 - INDEPENDENCIA,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 03,AV. CARLOS IZAGUIRRE N° 233-239 Y CALLE LOS ANDES N° 414-440 - INDEPENDENCIA,ADMINISTRACIÓN DE OPERACIONES TURÍSTICAS,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 03,AV. CARLOS IZAGUIRRE N° 233-239 Y CALLE LOS ANDES N° 414-440 - INDEPENDENCIA,ADMINISTRACIÓN DE REDES Y COMUNICACIONES,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 03,AV. CARLOS IZAGUIRRE N° 233-239 Y CALLE LOS ANDES N° 414-440 - INDEPENDENCIA,ADMINISTRACION DE SERVICIOS,Técnico ,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 03,AV. CARLOS IZAGUIRRE N° 233-239 Y CALLE LOS ANDES N° 414-440 - INDEPENDENCIA,ADMINISTRACIÓN Y SISTEMAS,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 03,AV. CARLOS IZAGUIRRE N° 233-239 Y CALLE LOS ANDES N° 414-440 - INDEPENDENCIA,COMPUTACIÓN E INFORMÁTICA,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 03,AV. CARLOS IZAGUIRRE N° 233-239 Y CALLE LOS ANDES N° 414-440 - INDEPENDENCIA,COMUNICACIÓN Y ARTE DIGITAL,Profesional Técnico,PRESENCIAL
"LIMA
",CIBERTEC,ASOCIACIÓN CIBERTEC PERU S.A.C. ,LOCAL 03,AV. CARLOS IZAGUIRRE N° 233-239 Y CALLE LOS ANDES N° 414-440 - INDEPENDENCIA,CONTABILIDAD,Profesional Técnico,PRESENCIAL
